,,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,
Recipe,الوراق,0,0,0,0,0,0,0,0,174,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,مصر الجديدة,63,3,0,0,0,0,146,6,0,0,0,0,0,0,0,0,87,3,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
B-white,الوراق,56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow,الوراق,0,0,0,0,118,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,76,3,122,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,مصر الجديدة,0,0,0,0,0,0,0,0,146,3,0,0,0,0,139,3,125,6,0,0,0,0,0,0
Eva Care,الوراق,0,0,185,4,153,6,153,6,0,0,0,0,139,6,189,4,0,0,189,4,0,0,0,0
Glow,الوراق,0,0,0,0,111,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,6
Skin Clinic,الوراق,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,الوراق,0,0,185,4,76,3,153,6,0,0,0,0,153,6,153,6,189,4,0,0,189,4,0,0
Glow,الوراق,0,0,0,0,69,3,0,0,0,0,139,6,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,6,0,0,122,3
Skin Clinic,الوراق,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,الوراق,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0
Eva Care,الوراق,0,0,90,6,185,4,185,4,0,0,0,0,153,6,153,6,0,0,0,0,153,6,0,0
Glow,الوراق,0,0,59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,3
Recipe,الوراق,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,6,0,0,0,0
Skin Clinic,الوراق,167,6,0,0,0,0,125,6,146,3,139,3,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,الوراق,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,125,12,0,0,0,0,0,0
B-white,الزمالك,56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,الوراق,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,4,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,80,3,122,3,0,0,0,0,0,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0
Recipe,الوراق,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,6,0,0,0,0
Skin Clinic,الوراق,0,0,0,0,0,0,0,0,292,6,0,0,0,0,0,0,0,0,0,0,0,0,125,6
Acetone & Rose water & Joli Eva,الوراق,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0
Eva Care,الوراق,0,0,118,6,185,4,185,4,0,0,0,0,0,0,0,0,0,0,97,6,0,0,0,0
Glow,الوراق,167,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,101,3,0,0,0,0,0,0,80,3,0,0,0,0
Skin Clinic,الوراق,0,0,149,6,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,الوراق,0,0,0,0,338,10,153,6,0,0,139,6,0,0,0,0,0,0,153,6,104,6,146,9
Glow,الوراق,167,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,122,3,0,0,0,0,0,0,0,0,104,3,0,0,0,0,0,0,0,0,0,0
Skin Clinic,الوراق,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,الوراق,0,0,0,0,63,6,0,0,0,0,0,0,1876,180,0,0,0,0,0,0,0,0,125,12
Acetone & Rose water & Joli Eva,الوراق,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1876,180,1876,180,903,60,0,0
Acetone & Rose water & Joli Eva,الوراق,0,0,0,0,448,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,الوراق,369,8,382,15,0,0,574,28,2067,87,333,18,3845,165,729,36,1542,37,2990,117,0,0,1888,91
Eva Care,الوراق,0,0,1070,42,6419,252,10470,411,7489,294,4863,210,5349,210,1070,42,9629,378,0,0,0,0,0,0
Eva Care,الوراق,739,16,690,21,5544,153.5,1072,34,1359,55,236,15,4967,195,1329,35,1188,51,514,17,0,0,0,0
Glow,الوراق,0,0,0,0,0,0,80,6,59,3,149,9,38,3,663,39,215,15,327,21,0,0,285,21
Glow,الوراق,0,0,1459,63,0,0,486,21,0,0,2918,126,0,0,0,0,0,0,0,0,0,0,0,0
Glow,الوراق,0,0,59,3,42,3,111,6,288,15,0,0,354,18,38,3,208,15,83,6,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,1153,39,2960,93,643,21,3015,93,1080,30,1317,42,261,9,2077,66,0,0,563,15
Hair Clinic,الزمالك,521,15,0,0,1223,39,1751,63,0,0,0,0,0,0,0,0,0,0,0,0,695,30,0,0
Hair Clinic,الزمالك,0,0,1007,33,1205,42,2973,93,69,3,563,18,799,24,0,0,552,15,0,0,0,0,1042,30
Skin Clinic,الزمالك,0,0,146,3,1087,42,587,27,504,15,0,0,1105,48,528,15,465,12,813,30,0,0,87,3
Skin Clinic,الزمالك,9796,186,2918,60,0,0,875,18,3939,81,0,0,1563,27,0,0,0,0,0,0,0,0,0,0
Skin Clinic,الزمالك,63,3,542,18,802,27.5,1598,36,2084,48,757,33,1306,27,462,12,333,12,0,0,0,0,333,12
Acetone & Rose water & Joli Eva,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPC,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,امبابة,49,3,0,0,185,4,153,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow,امبابة,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,122,3,0,0,0,0,0,0,101,3,0,0,104,3,0,0,0,0,0,0,0,0
Skin Clinic,الزمالك,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,139,3,0,0,0,0,0,0
Spotless,امبابة,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4099,180,4099,180,0,0
Glow,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,12,479,12,0,0
Acetone & Rose water & Joli Eva,امبابة,181,18,28,3,125,12,94,9,45,4.5,153,15,63,6,181,18,306,30,181,18,125,12,243,24
Glow,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man Look,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5836,630,0,0,0,0,18841,1332,0,0
Hair Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recipe,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,امبابة,0,0,185,4,153,6,153,6,0,0,0,0,0,0,153,6,0,0,0,0,0,0,0,0
Glow,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,9,0,0,0,0,0,0
Hair Clinic,الزمالك,160,6,0,0,0,0,0,0,0,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0
Recipe,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,6,0,0,0,0
Skin Clinic,الزمالك,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,125,6
Eva Care,امبابة,51,2,0,0,153,6,153,6,0,0,0,0,0,0,0,0,0,0,45,3,0,0,0,0
Glow,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3,0,0,0,0,0,0
Hair Clinic,الزمالك,139,3,139,6,0,0,0,0,0,0,101,3,0,0,167,6,0,0,0,0,0,0,0,0
Recipe,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,3,0,0,0,0
Skin Clinic,الزمالك,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,63,3,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0
Eva Care,امبابة,379,16,45,3,369,8,338,10,0,0,97,6,0,0,142,9,0,0,153,6,153,6,0,0
Glow,امبابة,0,0,69,3,0,0,0,0,0,0,56,3,139,6,0,0,69,3,139,6,0,0,0,0
Hair Clinic,الزمالك,0,0,139,6,156,6,0,0,0,0,0,0,0,0,0,0,153,3,0,0,139,3,104,3
Recipe,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,6,0,0,148,6
Skin Clinic,الزمالك,125,6,0,0,0,0,0,0,292,6,0,0,0,0,146,3,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Eva Care,امبابة,0,0,185,4,153,6,153,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,139,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,3
Skin Clinic,الزمالك,0,0,0,0,0,0,0,0,146,3,0,0,0,0,146,3,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,30,0,0
Eva Care,امبابة,0,0,4434,96,3745,147,0,0,1605,63,5349,210,2140,84,3210,126,1070,42,0,0,0,0,0,0
Glow,امبابة,0,0,0,0,0,0,0,0,0,0,1945,84,0,0,347,15,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,806,24,0,0,0,0,0,0,0,0,0,0,657,21,0,0,1459,42,0,0
Other,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,15,0,0,0,0,0,0
Recipe,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839,30
Skin Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2723,56,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,امبابة,0,0,90,6,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0
Eva Care,امبابة,195,12,0,0,0,0,185,4,0,0,0,0,139,6,189,4,0,0,146,9,153,6,0,0
Glow,امبابة,0,0,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,149,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,3
Skin Clinic,الزمالك,0,0,0,0,0,0,0,0,146,3,139,3,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,امبابة,0,0,0,0,0,0,181,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baby,امبابة,0,0,0,0,0,0,101,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,عين شمس,0,0,0,0,0,0,297,13,18,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow,امبابة,0,0,0,0,0,0,76,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPC,امبابة,0,0,0,0,0,0,161,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,0,0,474,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One Classic,امبابة,0,0,0,0,0,0,62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recipe,مصر الجديدة,0,0,0,0,0,0,382,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,الزمالك,0,0,0,0,0,0,958,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun & Sea,مصر الجديدة,0,0,0,0,0,0,295,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,عين شمس,0,0,185,4,0,0,185,4,0,0,153,6,139,6,0,0,76,3,153,6,104,6,146,9
Glow,امبابة,167,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,104,3,0,0,0,0,0,0,0,0,0,0
Skin Clinic,الزمالك,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,63,3,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Eva Care,عين شمس,0,0,0,0,185,4,185,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow,امبابة,167,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,87,3,0,0,0,0,0,0,0,0,0,0,0,0,160,6,0,0,0,0,0,0
Skin Clinic,الزمالك,0,0,63,3,0,0,0,0,0,0,0,0,0,0,125,6,0,0,0,0,0,0,0,0
Eva Care,عين شمس,0,0,0,0,0,0,153,6,0,0,0,0,0,0,153,6,0,0,0,0,0,0,0,0
Glow,امبابة,0,0,139,6,0,0,0,0,0,0,0,0,0,0,0,0,135,9,0,0,0,0,0,0
Hair Clinic,الزمالك,139,3,0,0,167,6,0,0,0,0,139,6,0,0,0,0,0,0,0,0,0,0,0,0
Recipe,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,6,0,0,0,0
Skin Clinic,الزمالك,0,0,0,0,0,0,0,0,292,6,0,0,0,0,0,0,0,0,0,0,0,0,125,6
Acetone & Rose water & Joli Eva,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Eva Care,عين شمس,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,9,0,0,0,0,0,0,0,0
Glow,امبابة,167,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,6
Skin Clinic,الزمالك,0,0,146,3,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,9
Eva Care,عين شمس,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4386,154
Glow,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,30
GPC,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,27
Hair Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587,45
Skin Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,33
Acetone & Rose water & Joli Eva,الزمالك,56,3,56,3,0,0,63,6,0,0,0,0,153,15,0,0,0,0,0,0,0,0,0,0
Eva Care,عين شمس,231,15,1188,35.5,2258,58.5,2397,60,306,12,2552,72,2804,87,1350,28.5,4303,118.5,95,2,0,0,1407,50
Glow,امبابة,92,4.5,325,15,54,3,151,9,0,0,228,10.5,412,19,371,16,1211,54,741,32,0,0,134,7
GPC,امبابة,0,0,0,0,0,0,21,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,امبابة,42,1.5,80,3,0,0,0,0,0,0,217,6,318,9,101,3,146,3,76,1.5,0,0,27,1
Other,امبابة,0,0,69,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recipe,مصر الجديدة,61,1.5,0,0,0,0,0,0,0,0,0,0,157,5.5,0,0,42,1.5,0,0,0,0,0,0
Skin Clinic,الزمالك,393,18,1612,46.5,83,4,477,18,1167,24,1053,25.5,139,3,35,1,1823,57.5,126,3,0,0,878,27
Eva Care,عين شمس,0,0,0,0,0,0,306,12,0,0,49,3,0,0,0,0,0,0,153,6,153,6,0,0
Glow,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,139,6,0,0,0,0,0,0,0,0,0,0
Hair Clinic,امبابة,0,0,0,0,153,3,0,0,0,0,80,3,0,0,101,3,153,3,0,0,0,0,0,0
Recipe,مصر الجديدة,167,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,6
Skin Clinic,الزمالك,0,0,0,0,0,0,0,0,271,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0
Eva Care,عين شمس,0,0,0,0,185,4,153,6,0,0,0,0,139,6,189,4,0,0,146,9,49,3,0,0
Glow,امبابة,0,0,139,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,امبابة,0,0,0,0,0,0,0,0,0,0,104,3,0,0,0,0,0,0,0,0,69,3,104,3
Recipe,مصر الجديدة,174,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0